Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2713,SA_0000001400,COUNTRY,UZB,EUR,Europe,YEAR,2009,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHUZB,1.4,1.40701,,,2024-08-12T15:16:09Z,2009,1/1/2009,12/31/2009
3015,SA_0000001400,COUNTRY,CZE,EUR,Europe,YEAR,1986,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHCZE,4.43,4.43,,,2018-05-11T09:03:21Z,1986,1/1/1986,12/31/1986
3099,SA_0000001400,COUNTRY,ITA,EUR,Europe,YEAR,1995,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHITA,7.19,7.19,,,2018-05-11T09:22:40Z,1995,1/1/1995,12/31/1995
3286,SA_0000001400,COUNTRY,BTN,SEAR,South-East Asia,YEAR,1989,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHBTN,0.31,0.31,,,2018-05-11T09:17:43Z,1989,1/1/1989,12/31/1989
3350,SA_0000001400,COUNTRY,POL,EUR,Europe,YEAR,1991,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHPOL,8.63,8.63,,,2018-05-11T09:17:34Z,1991,1/1/1991,12/31/1991
3362,SA_0000001400,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,1987,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHIRQ,0.01,0.01,,,2018-05-11T09:23:01Z,1987,1/1/1987,12/31/1987
3801,SA_0000001400,COUNTRY,ITA,EUR,Europe,YEAR,2002,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHITA,1.7,1.69403,,,2024-08-12T15:16:09Z,2002,1/1/2002,12/31/2002
4219,SA_0000001400,COUNTRY,SVN,EUR,Europe,YEAR,1984,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHSVN,17.23,17.23,,,2018-05-11T09:21:59Z,1984,1/1/1984,12/31/1984
4513,SA_0000001400,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,1974,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHDJI,1.41,1.41,,,2018-05-11T09:18:51Z,1974,1/1/1974,12/31/1974
4646,SA_0000001400,COUNTRY,COG,AFR,Africa,YEAR,1990,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHCOG,2.1,2.1,,,2018-05-11T09:15:21Z,1990,1/1/1990,12/31/1990
4652,SA_0000001400,COUNTRY,WSM,WPR,Western Pacific,YEAR,2005,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHWSM,0.1,0.07407,,,2024-08-12T15:16:09Z,2005,1/1/2005,12/31/2005
4761,SA_0000001400,COUNTRY,COD,AFR,Africa,YEAR,1985,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHCOD,0.01,0.01,,,2018-05-11T09:04:52Z,1985,1/1/1985,12/31/1985
4972,SA_0000001400,COUNTRY,TUR,EUR,Europe,YEAR,2014,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHTUR,0.5,0.46522,,,2024-08-12T15:16:09Z,2014,1/1/2014,12/31/2014
5219,SA_0000001400,COUNTRY,ERI,AFR,Africa,YEAR,1989,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHERI,0.21,0.21,,,2018-05-11T09:09:39Z,1989,1/1/1989,12/31/1989
5280,SA_0000001400,COUNTRY,ZWE,AFR,Africa,YEAR,1971,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHZWE,0.61,0.61,,,2018-05-11T09:06:59Z,1971,1/1/1971,12/31/1971
5342,SA_0000001400,COUNTRY,COM,AFR,Africa,YEAR,1989,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHCOM,0.09,0.09,,,2018-05-11T09:12:59Z,1989,1/1/1989,12/31/1989
5468,SA_0000001400,COUNTRY,NGA,AFR,Africa,YEAR,2007,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHNGA,5.2,5.19056,,,2024-08-12T15:16:09Z,2007,1/1/2007,12/31/2007
5626,SA_0000001400,COUNTRY,UZB,EUR,Europe,YEAR,2009,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHUZB,0.2,0.18781,,,2024-08-12T15:16:09Z,2009,1/1/2009,12/31/2009
5650,SA_0000001400,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2015,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHBHR,0.6,0.59309,,,2024-08-12T15:16:09Z,2015,1/1/2015,12/31/2015
5749,SA_0000001400,COUNTRY,NAM,AFR,Africa,YEAR,2001,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHNAM,0.9,0.85763,,,2024-08-12T15:16:09Z,2001,1/1/2001,12/31/2001
6680,SA_0000001400,COUNTRY,AGO,AFR,Africa,YEAR,1998,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHAGO,0.42,0.42,,,2018-05-11T09:16:11Z,1998,1/1/1998,12/31/1998
6823,SA_0000001400,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,1965,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHMAR,0.26,0.26,,,2018-05-11T09:08:23Z,1965,1/1/1965,12/31/1965
6999,SA_0000001400,COUNTRY,BGD,SEAR,South-East Asia,YEAR,1997,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHBGD,0,0,,,2018-05-11T09:05:05Z,1997,1/1/1997,12/31/1997
7167,SA_0000001400,COUNTRY,VEN,AMR,Americas,YEAR,1973,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHVEN,5.61,5.61,,,2018-05-11T09:08:11Z,1973,1/1/1973,12/31/1973
7220,SA_0000001400,COUNTRY,SGP,WPR,Western Pacific,YEAR,1990,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHSGP,0.51,0.51,,,2018-05-11T09:18:02Z,1990,1/1/1990,12/31/1990
7258,SA_0000001400,COUNTRY,GBR,EUR,Europe,YEAR,1969,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHGBR,6.62,6.62,,,2018-05-11T09:08:33Z,1969,1/1/1969,12/31/1969
7469,SA_0000001400,COUNTRY,SEN,AFR,Africa,YEAR,1974,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHSEN,0.21,0.21,,,2018-05-11T09:02:28Z,1974,1/1/1974,12/31/1974
7771,SA_0000001400,COUNTRY,CHN,WPR,Western Pacific,YEAR,1981,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHCHN,0.02,0.02,,,2018-05-11T09:08:03Z,1981,1/1/1981,12/31/1981
7884,SA_0000001400,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,1973,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHYEM,0,0,,,2018-05-11T09:17:22Z,1973,1/1/1973,12/31/1973
8536,SA_0000001400,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2001,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHYEM,0,0.0034,,,2024-08-12T15:16:09Z,2001,1/1/2001,12/31/2001
8765,SA_0000001400,COUNTRY,GBR,EUR,Europe,YEAR,2013,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHGBR,2,2.04661,,,2024-08-12T15:16:09Z,2013,1/1/2013,12/31/2013
8931,SA_0000001400,COUNTRY,POL,EUR,Europe,YEAR,2011,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHPOL,0,0,,,2024-08-12T15:16:09Z,2011,1/1/2011,12/31/2011
9062,SA_0000001400,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,1992,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHDJI,0.6,0.6,,,2018-05-11T09:11:48Z,1992,1/1/1992,12/31/1992
9823,SA_0000001400,COUNTRY,FSM,WPR,Western Pacific,YEAR,1980,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHFSM,0,0,,,2018-05-11T09:11:38Z,1980,1/1/1980,12/31/1980
10244,SA_0000001400,COUNTRY,MOZ,AFR,Africa,YEAR,2010,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHMOZ,0.9,0.86829,,,2024-08-12T15:16:09Z,2010,1/1/2010,12/31/2010
10668,SA_0000001400,COUNTRY,BRB,AMR,Americas,YEAR,2018,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHBRB,10,10.02722,,,2024-08-12T15:16:09Z,2018,1/1/2018,12/31/2018
10990,SA_0000001400,COUNTRY,AUT,EUR,Europe,YEAR,1975,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHAUT,6.7,6.7,,,2018-05-11T09:07:19Z,1975,1/1/1975,12/31/1975
11423,SA_0000001400,COUNTRY,NAM,AFR,Africa,YEAR,1990,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHNAM,0.23,0.23,,,2018-05-11T09:22:22Z,1990,1/1/1990,12/31/1990
11497,SA_0000001400,COUNTRY,ATG,AMR,Americas,YEAR,1985,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHATG,0,0,,,2018-05-11T09:18:05Z,1985,1/1/1985,12/31/1985
11512,SA_0000001400,COUNTRY,NIC,AMR,Americas,YEAR,2013,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHNIC,3.5,3.54141,,,2024-08-12T15:16:09Z,2013,1/1/2013,12/31/2013
11595,SA_0000001400,COUNTRY,LSO,AFR,Africa,YEAR,2004,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHLSO,1,0.99147,,,2024-08-12T15:16:09Z,2004,1/1/2004,12/31/2004
11749,SA_0000001400,COUNTRY,ERI,AFR,Africa,YEAR,1969,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHERI,0,0,,,2018-05-11T09:10:23Z,1969,1/1/1969,12/31/1969
11785,SA_0000001400,COUNTRY,BEN,AFR,Africa,YEAR,2014,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHBEN,5.2,5.23118,,,2024-08-12T15:16:09Z,2014,1/1/2014,12/31/2014
11804,SA_0000001400,COUNTRY,NAM,AFR,Africa,YEAR,1985,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHNAM,0.27,0.27,,,2018-05-11T09:03:29Z,1985,1/1/1985,12/31/1985
11936,SA_0000001400,COUNTRY,DMA,AMR,Americas,YEAR,2016,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHDMA,0.3,0.28865,,,2024-08-12T15:16:09Z,2016,1/1/2016,12/31/2016
12005,SA_0000001400,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2005,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHKWT,0,0,,,2024-08-12T15:16:09Z,2005,1/1/2005,12/31/2005
12069,SA_0000001400,COUNTRY,MLI,AFR,Africa,YEAR,1971,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHMLI,0.46,0.46,,,2018-05-11T09:12:48Z,1971,1/1/1971,12/31/1971
12196,SA_0000001400,COUNTRY,CYP,EUR,Europe,YEAR,2013,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHCYP,3.1,3.12584,,,2024-08-12T15:16:09Z,2013,1/1/2013,12/31/2013
12228,SA_0000001400,COUNTRY,MDG,AFR,Africa,YEAR,2002,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHMDG,0.9,0.86649,,,2024-08-12T15:16:09Z,2002,1/1/2002,12/31/2002
12476,SA_0000001400,COUNTRY,ETH,AFR,Africa,YEAR,1975,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHETH,0.58,0.58,,,2018-05-11T09:19:30Z,1975,1/1/1975,12/31/1975
12576,SA_0000001400,COUNTRY,SGP,WPR,Western Pacific,YEAR,2011,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHSGP,1.3,1.31677,,,2024-08-12T15:16:09Z,2011,1/1/2011,12/31/2011
12729,SA_0000001400,COUNTRY,STP,AFR,Africa,YEAR,2004,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHSTP,6.6,6.61894,,,2024-08-12T15:16:09Z,2004,1/1/2004,12/31/2004
12920,SA_0000001400,COUNTRY,UZB,EUR,Europe,YEAR,2003,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHUZB,3.8,3.78103,,,2024-08-12T15:16:09Z,2003,1/1/2003,12/31/2003
13207,SA_0000001400,COUNTRY,SEN,AFR,Africa,YEAR,2011,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHSEN,0,0.02906,,,2024-08-12T15:16:09Z,2011,1/1/2011,12/31/2011
13782,SA_0000001400,COUNTRY,UGA,AFR,Africa,YEAR,1983,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHUGA,7.52,7.52,,,2018-05-11T09:20:17Z,1983,1/1/1983,12/31/1983
14119,SA_0000001400,COUNTRY,KAZ,EUR,Europe,YEAR,2014,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHKAZ,3.6,3.58701,,,2024-08-12T15:16:09Z,2014,1/1/2014,12/31/2014
14197,SA_0000001400,COUNTRY,CHN,WPR,Western Pacific,YEAR,1991,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHCHN,0.44,0.44,,,2018-05-11T09:10:30Z,1991,1/1/1991,12/31/1991
14268,SA_0000001400,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,1980,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHMAR,0.06,0.06,,,2018-05-11T09:13:11Z,1980,1/1/1980,12/31/1980
14334,SA_0000001400,COUNTRY,AGO,AFR,Africa,YEAR,1999,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHAGO,0.42,0.42,,,2018-05-11T09:08:54Z,1999,1/1/1999,12/31/1999
14532,SA_0000001400,COUNTRY,KNA,AMR,Americas,YEAR,2003,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHKNA,3.2,3.24332,,,2024-08-12T15:16:09Z,2003,1/1/2003,12/31/2003
14577,SA_0000001400,COUNTRY,PNG,WPR,Western Pacific,YEAR,1995,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHPNG,0,0,,,2018-05-11T09:15:33Z,1995,1/1/1995,12/31/1995
14962,SA_0000001400,COUNTRY,UKR,EUR,Europe,YEAR,1986,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHUKR,1.01,1.01,,,2018-05-11T09:13:10Z,1986,1/1/1986,12/31/1986
15108,SA_0000001400,COUNTRY,BOL,AMR,Americas,YEAR,2004,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHBOL,1.9,1.90608,,,2024-08-12T15:16:09Z,2004,1/1/2004,12/31/2004
15348,SA_0000001400,COUNTRY,ISL,EUR,Europe,YEAR,1996,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHISL,0,0,,,2018-05-11T09:13:45Z,1996,1/1/1996,12/31/1996
15476,SA_0000001400,COUNTRY,MLT,EUR,Europe,YEAR,1994,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHMLT,7.2,7.2,,,2018-05-11T09:14:53Z,1994,1/1/1994,12/31/1994
15738,SA_0000001400,COUNTRY,VEN,AMR,Americas,YEAR,1977,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHVEN,4.36,4.36,,,2018-05-11T09:10:50Z,1977,1/1/1977,12/31/1977
15858,SA_0000001400,COUNTRY,GAB,AFR,Africa,YEAR,1993,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHGAB,8.39,8.39,,,2018-05-11T09:22:19Z,1993,1/1/1993,12/31/1993
16243,SA_0000001400,COUNTRY,BEN,AFR,Africa,YEAR,1971,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHBEN,0.22,0.22,,,2018-05-11T09:10:17Z,1971,1/1/1971,12/31/1971
16383,SA_0000001400,COUNTRY,TCD,AFR,Africa,YEAR,1979,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHTCD,0,0,,,2018-05-11T09:16:56Z,1979,1/1/1979,12/31/1979
16643,SA_0000001400,COUNTRY,LSO,AFR,Africa,YEAR,2002,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHLSO,0.9,0.93189,,,2024-08-12T15:16:09Z,2002,1/1/2002,12/31/2002
16750,SA_0000001400,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2006,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHJOR,0.1,0.11714,,,2024-08-12T15:16:09Z,2006,1/1/2006,12/31/2006
16898,SA_0000001400,COUNTRY,KIR,WPR,Western Pacific,YEAR,1971,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHKIR,0.2,0.2,,,2018-05-11T09:19:09Z,1971,1/1/1971,12/31/1971
17419,SA_0000001400,COUNTRY,NAM,AFR,Africa,YEAR,1974,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHNAM,0.22,0.22,,,2018-05-11T09:13:51Z,1974,1/1/1974,12/31/1974
17830,SA_0000001400,COUNTRY,GRD,AMR,Americas,YEAR,1990,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHGRD,7.31,7.31,,,2018-05-11T09:22:45Z,1990,1/1/1990,12/31/1990
18333,SA_0000001400,COUNTRY,GMB,AFR,Africa,YEAR,1998,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHGMB,1.88,1.88,,,2018-05-11T09:22:26Z,1998,1/1/1998,12/31/1998
18547,SA_0000001400,COUNTRY,KHM,WPR,Western Pacific,YEAR,2005,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHKHM,1.1,1.07117,,,2024-08-12T15:16:09Z,2005,1/1/2005,12/31/2005
18763,SA_0000001400,COUNTRY,ECU,AMR,Americas,YEAR,1983,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHECU,1.57,1.57,,,2018-05-11T09:11:46Z,1983,1/1/1983,12/31/1983
19048,SA_0000001400,COUNTRY,TTO,AMR,Americas,YEAR,1994,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHTTO,1.51,1.51,,,2018-05-11T09:20:56Z,1994,1/1/1994,12/31/1994
19053,SA_0000001400,COUNTRY,ZMB,AFR,Africa,YEAR,1973,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHZMB,0.02,0.02,,,2018-05-11T09:16:27Z,1973,1/1/1973,12/31/1973
19423,SA_0000001400,COUNTRY,ATG,AMR,Americas,YEAR,2013,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHATG,3.5,3.52927,,,2024-08-12T15:16:09Z,2013,1/1/2013,12/31/2013
19617,SA_0000001400,COUNTRY,PHL,WPR,Western Pacific,YEAR,1992,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHPHL,0.9,0.9,,,2018-05-11T09:17:19Z,1992,1/1/1992,12/31/1992
19804,SA_0000001400,COUNTRY,CHN,WPR,Western Pacific,YEAR,1978,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHCHN,1.23,1.23,,,2018-05-11T09:07:10Z,1978,1/1/1978,12/31/1978
19821,SA_0000001400,COUNTRY,SWZ,AFR,Africa,YEAR,1992,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHSWZ,0.89,0.89,,,2018-05-11T09:10:33Z,1992,1/1/1992,12/31/1992
19849,SA_0000001400,COUNTRY,DNK,EUR,Europe,YEAR,2018,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHDNK,4.1,4.14719,,,2024-08-12T15:16:09Z,2018,1/1/2018,12/31/2018
20323,SA_0000001400,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,1995,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHDJI,0.42,0.42,,,2018-05-11T09:12:31Z,1995,1/1/1995,12/31/1995
20485,SA_0000001400,COUNTRY,NER,AFR,Africa,YEAR,1965,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHNER,0.12,0.12,,,2018-05-11T09:12:48Z,1965,1/1/1965,12/31/1965
20946,SA_0000001400,COUNTRY,GMB,AFR,Africa,YEAR,1961,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHGMB,0.12,0.12,,,2018-05-11T09:10:35Z,1961,1/1/1961,12/31/1961
