Country,Recordedconsumption,Unrecordedconsumption,Beer(%),Wine(%),Spirits(%),Other(%),2025projection,2030projection
Cuba,4.7,1.3,37.8,4.7,57.2,0.3,6.0,6.3
Nauru,2.4,0.5,22.0,3.7,74.3,<0.1,2.9,2.8
Colombia,4.2,0.7,73.8,1.4,24.3,0.4,4.9,4.8
Haiti,3.0,0.4,17.2,0.9,81.7,0.2,3.2,3.1
Liberia,2.8,0.8,14.1,1.6,83.7,0.5,3.5,3.4
Cape Verde,1.9,0.9,56.3,18.8,8.6,16.2,2.9,2.8
India,3.0,1.9,7.1,<0.1,92.8,<0.1,5.0,6.7
Sierra Leone,0.2,<0.1,68.0,6.6,21.1,4.3,0.3,0.3
Venezuela,2.7,0.3,58.5,0.5,39.6,1.4,2.4,1.8
Armenia,4.1,0.9,20.3,9.5,70.0,0.2,5.2,5.7
Turkmenistan,2.9,<0.1,23.1,40.3,36.6,<0.1,2.8,3.1
Nicaragua,3.7,0.5,41.0,0.8,58.1,0.1,4.0,4.1
Suriname,6.3,0.4,53.9,2.7,41.0,2.3,7.1,8.2
Lesotho,3.5,1.0,54.7,2.9,8.9,33.5,4.5,5.3
Bolivia,3.0,1.1,74.4,4.3,18.6,2.6,4.0,4.3
Costa Rica,3.2,0.3,72.3,4.9,10.4,12.4,3.3,3.1
Guinea-Bissau,3.3,0.9,15.4,33.6,15.8,35.1,3.9,4.1
Myanmar,1.9,0.2,26.9,0.9,72.1,<0.1,2.4,3.4
Zambia,3.2,0.6,37.9,1.4,8.5,52.2,3.8,3.8
Zimbabwe,2.8,0.9,34.1,1.9,12.3,51.7,3.9,4.6
Bahamas,9.5,0.3,38.7,15.3,42.8,3.2,4.4,4.3
Ecuador,3.0,0.3,76.8,2.7,19.4,1.0,3.3,3.1
Sri Lanka,2.6,0.3,8.5,0.3,89.8,1.4,2.8,3.3
Jamaica,3.5,0.4,34.6,8.3,47.3,9.7,3.6,3.6
Honduras,2.8,0.4,57.5,1.3,41.1,0.1,3.2,3.4
North Korea,3.4,0.9,3.2,<0.1,96.8,<0.1,4.3,4.5
Gambia,0.9,0.3,17.9,<0.1,1.8,80.3,0.9,0.6
Israel,2.6,0.4,49.3,3.0,45.1,2.5,3.0,3.1
United Arab Emirates,2.1,0.4,10.5,7.0,81.4,1.0,2.3,2.5
El Salvador,2.9,0.4,50.9,1.9,47.0,0.2,3.4,3.5
Malawi,1.8,1.5,4.2,0.8,9.5,85.5,3.4,3.5
Mauritius,7.0,0.8,28.6,3.7,67.1,0.5,7.6,7.4
Kenya,2.3,0.6,32.1,1.2,35.1,31.6,2.8,3.2
Central African Republic,1.4,0.5,36.6,1.8,1.0,60.6,2.0,1.9
Tajikistan,0.9,<0.1,44.0,1.3,54.2,0.5,0.8,0.8
Togo,1.0,0.4,63.1,1.1,20.1,15.6,1.4,1.4
Benin,5.2,3.2,17.0,0.9,4.0,78.1,8.7,8.5
Fiji,3.0,0.7,53.9,9.1,37.0,<0.1,3.8,4.3
Ethiopia,1.8,1.5,55.9,0.1,9.7,34.3,3.7,5.1
Ghana,1.9,2.7,34.5,2.0,21.3,42.2,4.5,4.5
Maldives,1.3,0.4,22.9,40.9,36.0,0.2,1.5,1.4
Uzbekistan,2.6,<0.1,7.8,3.3,88.8,<0.1,2.5,2.8
DR Congo,1.1,1.0,48.6,0.8,3.6,47.1,2.0,1.4
Micronesia,1.6,0.6,58.5,8.5,33.0,<0.1,2.1,1.9
Samoa,1.9,0.7,82.3,8.7,9.1,<0.1,2.4,2.2
Guatemala,1.6,<0.1,55.1,3.0,41.5,0.4,1.6,1.5
Mozambique,1.5,0.6,72.1,10.4,14.4,3.2,2.1,2.5
Timor-Leste,0.3,<0.1,69.1,12.8,17.3,0.8,0.2,0.2
Nepal,0.8,0.6,28.3,0.6,71.1,<0.1,1.5,1.6
Qatar,1.0,0.2,29.6,7.8,62.0,0.6,1.1,1.3
Singapore,1.8,0.2,69.0,15.4,13.7,2.0,1.9,1.8
Turkey,1.3,0.6,56.8,12.3,30.8,<0.1,1.7,1.6
Bahrain,1.5,0.4,37.6,12.1,48.7,1.6,1.6,1.3
Madagascar,0.7,0.3,68.6,9.5,21.8,<0.1,1.0,0.9
Tunisia,1.6,0.6,62.1,26.5,9.9,1.5,2.0,2.1
Tuvalu,0.9,0.3,1.5,74.3,24.2,<0.1,1.2,1.5
Chad,0.5,3.2,69.7,0.8,0.9,28.7,3.5,4.2
Lebanon,1.2,0.3,32.3,18.1,48.3,1.4,1.5,1.3
Tonga,0.3,0.1,4.3,60.3,35.4,<0.1,0.4,0.5
Solomon Islands,1.2,0.5,71.3,4.5,24.2,<0.1,1.6,1.2
Eritrea,0.9,0.4,42.0,<0.1,<0.1,58.0,1.2,1.6
Guinea,0.3,0.1,92.2,3.6,4.2,<0.1,0.5,0.6
Mali,3.5,0.8,2.7,0.2,0.4,96.7,4.3,4.1
Papua New Guinea,1.2,0.5,45.8,4.7,48.6,0.9,1.4,1.4
Iran,0.1,0.6,75.4,<0.1,24.6,<0.1,0.4,<0.1
Vanuatu,1.7,0.6,20.2,24.2,55.5,0.1,2.1,2.6
Algeria,0.6,<0.1,53.5,32.7,13.8,<0.1,0.6,0.8
Comoros,0.2,<0.1,21.7,39.8,38.5,<0.1,0.2,0.4
Malaysia,0.7,0.2,73.0,6.4,19.0,1.7,0.8,0.8
Azerbaijan,0.9,1.0,38.3,13.0,47.9,0.7,2.5,3.9
Indonesia,<0.1,<0.1,78.2,3.2,17.8,0.8,0.1,0.1
Oman,0.5,0.4,34.5,3.5,61.7,0.2,0.9,0.9
Jordan,0.3,<0.1,27.6,1.7,69.3,1.4,0.3,0.2
Senegal,0.3,0.1,66.7,26.3,6.3,0.7,0.4,0.4
Bhutan,<0.1,0.1,11.1,2.4,86.3,0.1,0.2,0.3
Morocco,0.5,<0.1,35.6,46.1,18.0,0.3,0.6,0.6
Djibouti,0.3,0.1,28.1,17.4,53.2,1.2,0.3,0.3
Niger,<0.1,<0.1,41.3,7.9,50.6,0.1,0.1,0.1
Sudan,<0.1,<0.1,27.0,30.9,37.6,4.5,<0.1,<0.1
Brunei,0.7,0.1,100.0,<0.1,<0.1,<0.1,0.4,0.4
Egypt,0.1,<0.1,63.6,7.2,28.3,0.9,0.1,0.2
Iraq,0.2,<0.1,70.3,2.3,26.8,0.7,0.2,0.3
Kiribati,0.4,0.6,64.1,<0.1,35.8,<0.1,0.8,0.7
Pakistan,<0.1,<0.1,7.7,<0.1,68.7,23.6,0.1,0.1
Syria,0.1,<0.1,12.8,1.3,86.0,<0.1,0.2,0.1
Afghanistan,<0.1,<0.1,6.1,4.4,89.1,0.4,<0.1,<0.1
Saudi Arabia,<0.1,<0.1,–,–,–,–,<0.1,<0.1
Yemen,<0.1,<0.1,98.0,<0.1,2.0,<0.1,<0.1,<0.1
Bangladesh,<0.1,<0.1,11.1,2.4,86.3,0.1,<0.1,<0.1
Kuwait,<0.1,<0.1,–,–,–,–,<0.1,<0.1
Libya,<0.1,<0.1,6.8,10.5,32.6,50.2,<0.1,<0.1
Mauritania,<0.1,<0.1,–,–,–,–,<0.1,<0.1
Somalia,<0.1,<0.1,–,–,–,–,<0.1,<0.1
