IndicatorCode,IndicatorName
HIV_0000000012,"Reported number of children receiving antiretroviral therapy, month and year of report"
GDO_q11x1,Existence of dementia national nongovernmental organization
GDO_q11x2x2_1,Dementia nongovernmental organization office branches (Sub-national)
GDO_q11x2x2_2,Dementia nongovernmental organization office branches (Local)
GDO_q11x2x2_3,Dementia nongovernmental organization office branches (National only)
GDO_q11x2x6,Dementia nongovernmental organization's involvement in policy development
GDO_q12x1x3,Existence of implementation plan for dementia carer support services
GDO_q12x2_5,Existence of financial benefits/social protection for dementia carers
GDO_q12x2x1x1_1NGO,Majority provider of dementia carer training and education (NGO)
HIV_0000000020,Estimated number of pregnant women living with HIV
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods
HIV_0000000024,Estimated antiretroviral therapy coverage among children
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%)
HRH_01,Number of nursing personnel
HRH_02,Number of physicians
HRH_03,Number of midwifery personnel
HRH_04,Number of pharmacists
HRH_08,Number of radiographers
HRH_09,Number of other health workers
MH_12,Age-standardized suicide rates (per 100 000 population)
MH_14,"Community residential facilities (per 100,000)"
MH_15,"Beds in community residential facilities (per 100,000)"
MH_19,"Mental hospital admissions (per 100,000)"
AIR_15,Household air pollution attributable DALYs
AIR_45,Ambient air pollution attributable YLLs
AIR_7,Ambient air pollution attributable DALYs
GDO_q12x2x1x1_3PUB,Majority provider of respite care for dementia carers (Public sector)
fullv,Full immunization coverage among one-year-olds (%)
GB_XPD_RSDV,Research and development (R&amp;D) expenditure as a proportion of GDP
GDO_q10x1,National regulator approval of anti-dementia medication
GDO_q10x2_1AVAIL,Availability of atleast one adult hygiene products for people with dementia
GDO_q12x2x1x1_4NGO,Majority provider of information on legal rights for dementia carers (NGO)
GDO_q12x2x1x1_5NGO,Majority provider of information on financial benefits/social protection for dementia carers (NGO)
AIR_18,Household air pollution  attributable DALYs per 100'000 children under 5 years
AIR_4,Ambient air pollution attributable deaths in children under 5 years
GDO_q12x2x5x3,Estimated number of dementia carers receiving financial benefits/social protection
GDO_q13x3x1,Implementation level [national/subnational] of dementia risk reduction campaign
HIV_0000000009,Reported number of people receiving antiretroviral therapy
AIR_50,"Ambient air pollution attributable deaths (per 100 000 population, age-standardized)"
AIR_51,Household air pollution attributable death rate (per 100 000 population)
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)"
GDO_q11x2x3,Dementia nongovernmental organization staff primarily salaried/volunteer
GDO_q11x2x5,Provision of governmental funding to dementia nongovernmental organization for activities/services
HRH_05,Number of pharmaceutical technicians/assistants
GDO_q12x2x1x1_2PUB,Majority provider of psycho-social supports for dementia carers (Public sector)
GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
AIR_63,Household and ambient air pollution attributable DALYs in children under 5 years ('000)
AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population)
AMR_GI_001,Status of countries enrolled in GLASS
AMRGLASS_COORD01,Functioning national AMR surveillance plan
AMRGLASS_SURVL03,Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)
bcgv,BCG immunization coverage among one-year-olds (%)
HIV_0000000001,Estimated number of people (all ages) living with HIV
HIV_0000000026,Number of new HIV infections
HRH_16,Number of traditional medicine practitioners
HRH_17,Number of medical assistants
AMRGLASS_COORD02,Establishment of National Coordination Centre (NCC)
AMRGLASS_COORD04,Establishment of national reference laboratory (NRL)
AMRGLASS_QA01,EQA provided to the national reference laboratory (NRL)
AMRGLASS_QA04,GLASS pathogens testing covered by EQA
AMRGLASS_QA05,Types of AST standards followed by countries
AMRGLASS_SURVL01,Number of national surveillance sites in each country providing data to GLASS: hospital category
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate)
fps,Demand for family planning satisfied - modern and traditional methods (%)
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)"
GDO_q12x1,Existence of dementia carer support services
GDO_q12x1x1,Implementation level [national/subnational] of dementia carer support services
GDO_q12x1x2,Existence of dedicated resources for dementia carer support services
AIR_11,Household air pollution attributable deaths
AIR_13,Household air pollution attributable deaths per 100'000 capita
AIR_14,Household air pollution  attributable deaths per 100'000 children under 5 years
AIR_17,Household air pollution attributable DALYs (per 100 000 population)
AIR_3_1,Percent of urban inhabitants living in cities covered by PM measurements
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)"
AIR_41,Ambient air pollution attributable deaths
AIR_43,Ambient air pollution attributable DALYs
AIR_44,DALYs attributable to ambient air pollution (age-standardized)
GDO_q12x2x1x1_1,"Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]"
GDO_q12x2x1x1_1PRV,Majority provider of dementia carer training and education (Private sector)
GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
GDO_q12x2x1x1_2PRV,Majority provider of psycho-social supports for dementia carers (Private sector)
GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector)
GDO_q12x2x1x1_4,"Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
GDO_q12x2x1x1_4PUB,Majority provider of information  on legal rights for dementia carers (Public sector)
HRH_06,Number of community health workers
HRH_07,Number of traditional birth attendants
MENING_3,Number of meningitis epidemic districts
MH_1,Mental health policy
MH_17,"Mental hospitals (per 100,000)"
MH_2,Mental health plan
MH_20,"Outpatient visits (per 100,000)"
MH_21,"Total workforce in mental health sector (per 100,000)"
MH_23,"Other non-specialized doctors in mental health sector (per 100,000)"
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%)
Camp_aud_research,Formative research was conducted
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme
MH_13,"Beds for mental health in general hospitals (per 100,000)"
MH_16,"Beds in mental hospitals (per 100,000)"
MH_18,"Mental health units in general hospitals (per 100,000)"
MH_22,"Occupational therapists in mental health sector (per 100,000)"
GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
GDO_q12x2x1x1_5PRV,Majority provider of information on financial benefits/social protection for dementia carers (Private sector)
MH_7,"Nurses working in mental health sector (per 100,000)"
MH_8,"Social workers working in mental health sector (per 100,000)"
MORT_100,"Number of deaths in children aged <5 years, by cause"
MH_3,Stand-alone mental health legislation
MH_9,"Psychologists working in mental health sector (per 100,000)"
MORT_500,Number of deaths
MORT_700,Projection of deaths per 100 000 population
GDO_q14x1,Availability of dementia-friendly initiatives that improve accessibility
GDO_q14x2_2,Existence of dementia-friendly initiative to improve accessibility of public transportation
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)
MORT_300,Distribution of causes of death among children aged < 5 years (%)
GDO_q12x2x1x1_3NGO,Majority provider of respite care for dementia carers (NGO)
GDO_q12x2x1x1_4PRV,Majority provider of information on legal rights for dementia carers (Private sector)
Camp_mat_tested,Campaign was pre-tested
CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%)
CC_1,Climate change attributable deaths
CC_4,Climate change attributable DALYs per 100'000 capita
BP_05,Mean systolic blood pressure (crude estimate)
BP_06,Mean systolic blood pressure (age-standardized estimate)
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness
Camp_nat,At least one national mass media campaign ran during the survey period
CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%)
GDO_q12x2x1x3,Estimated number of dementia carers receiving training and education
cci2030,Composite coverage index (%)
CCO_WHS9_85,Literacy rate among adults aged >= 15 years (%)
CHOLERA_0000000003,Cholera case fatality rate
cpmo,Contraceptive prevalence - modern methods (%)
CC_2,Climate change attributable DALYs ('000)
CC_8,Climate change  attributable DALYs per 100'000 children under 5 years
CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population)
GDO_q14x2_3,Existence of dementia-friendly initiative for assistance with home modification
GDO_q14x2_4,Existence of dementia-friendly initiative with assistive technology for loss of capacity
GDO_q14x2_5,Existence of dementia-friendly initiative supporting community places for older people
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate)
GDO_q14x2_1,Existence of dementia-friendly initiative to improve accessibility of public spaces
GDO_q15x2_7,Existence of dementia training for financial service staff
GDO_q15x2_5,Existence of dementia training for community workers
GDO_q16x1,Routine monitoring of people with dementia
GDO_q16x1x1_1,Data sources used to routinely monitor people with dementia (Clinical records)
CC_7,Climate change attributable DALYs ('000) in children under 5 years
cci,Composite coverage index (%)
CCO_3,Gender inequality index rank
GDO_q16x1x1_3,Data sources used to routinely monitor people with dementia (Administrative data)
GDO_q16x1x1_4,Data sources used to routinely monitor people with dementia (Facility survey or records)
MORT_600,Projection of number of deaths
mslv,Measles immunization coverage among one-year-olds (%)
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
CHOLERA_0000000002,Number of reported deaths from cholera
GDO_q14x2_6,Existence of dementia-friendly initiative supporting social opportunities
GDO_q15x2_2,Existence of dementia training for police and fire services
GDO_q15x2_3,Existence of dementia training for first responders
GDO_q16x1x1_2,Data sources used to routinely monitor people with dementia (Household surveys)
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)"
NCD_BMI_MINUS2A,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (age-standardized estimate) (%)"
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)"
GDO_q16x1x2_2,Data used to routinely monitor people with dementia can be disaggregated
GDO_q16x2_3,Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes
MORT_MATERNALNUM,Number of maternal deaths
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)"
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)"
GDO_q12x2x1x1_5PUB,Majority provider of information  on financial benefits/social protection for dementia carers (Public sector)
GDO_q12x2x2x3,Estimated number of dementia carers receiving psycho-social supports
GDO_q12x2x3x3,Estimated number of dementia carers receiving respite care
GDO_q12x2x4x3,Estimated number of dementia carers receiving information on legal rights
GDO_q13x1,Existence of at least one functioning dementia awareness campaign
GDO_q13x1x1,Implementation level [national/subnational] of dementia awareness campaign
GDO_q13x3,Existence of at least one functioning risk reduction campaign
AIR_61,Household and ambient air pollution attributable DALYs (per 100 000 capita)
AIR_8,Ambient air pollution attributable DALYs  in children under 5 years
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)"
AMR_GI_002,Status of National coordination center establishment
AMR_GI_003,Status of National plans to implement and strengthen antimicrobial surveillance
AMRGLASS_COORD03,Nomination of National Focal Point (NFP)
AMRGLASS_QA03,EQA provided to local laboratories participating in GLASS
AMRGLASS_SURVL02,Number of National surveillance sites in each country providing data to GLASS: outpatient facility category
GOE_Q203,Lack of integration between various health services
HCF_REL_ELECTRICITY,Percentage of health-care facilities with reliable electricity supply (%)
HIV_0000000007,"Testing and counselling facilities, reported number"
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population"
HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
HIV_0000000016,"Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission, reporting period"
HIV_0000000022,Estimated number of people eligible for antiretroviral therapy according to 2010 guidelines
GDO_q15x2_8,Existence of dementia training for retail and hospitality staff
HRH_20,Number of laboratory health workers
MENING_1,Number of suspected meningitis deaths reported
MENING_2,Number of suspected meningitis cases reported
MH_10,"Mental health outpatient facilities (per 100,000)"
MH_11,"Mental health day treatment facilities (per 100,000)"
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)"
NCD_CCS_ACE,General availability of ACE inhibitors in the public health sector
HRH_13,Number of laboratory scientists
HRH_15,Number of dentists
HRH_18,Number of personal care workers
HRH_25,Pharmaceutical personnel density (per 1000 population)
HRH_43,Number of licensed qualified anaesthesiologists actively working
HRH_33,Nursing and midwifery personnel density (per 1000 population)
HSS_COMPREHENSIVEHEALTHPOLICY,Countries that have a comprehensive national health sector policy/ strategy/ plan with goals and targets updated within the last 5 years
HRH_45,Biomedical technicians density (per 10 000 population)
HSS_MONITORPROGRESS,Countries that have monitored the progress of their national health policy/strategy/plan regularly
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC)
HWF_0003,Generalist medical practitioners (number)
HWF_0005,Medical doctors not further defined (number)
NCD_CCS_AlcPlan,Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol
HWF_0004,Specialist medical practitioners (number)
HWF_0006,"Nursing and midwifery personnel (per 10,000)"
HWF_0008,Nursing personnel (number)
HRH_21,Number of dentistry personnel
HRH_22,Number of community and traditional health workers
HRH_23,Number of other health workers
HRH_24,Number of nursing and midwifery personnel
HRH_28,Dentistry personnel density (per 1000 population)
HRH_29,Community and traditional health workers density (per 1000 population)
HRH_40,Biomedical engineers density (per 10 000 population)
NCD_CCS_BreastCancer,General availability of breast cancer screening (by palpation or mammogram) at the primary health care level
NCD_CCS_Bronchodilators,General availability of bronchodilators in the public health sector
NCD_CCS_CancerPlan,Existence of operational policy/strategy/action plan for cancer
HRH_41,Number of licensed qualified surgeons actively working
HRH_42,Number of licensed qualified obstetricians actively working
HRH_44,Number of biomedical engineers
GDO_q16x2_5,Availability of routine antipsychotic prescription records for people with dementia for monitoring purposes
GDO_q16x3,Availability and status of dementia reporting in the past two years
GDO_q17x1,Existence of a current dementia research plan/programme
GDO_q17x2x2,Implementation level [national/subnational] of research plan in which dementia is integrated
GDO_q18x2x1_1,"Total expenditure on dementia research (local currency, self-report)"
GDO_q17x2x1_3,Identification of other research plans in which dementia is integrated (Neuro or neurodegenerative disease)
GDO_q18x2x3_3,"Total expenditure on dementia implementation research (local currency, self-report)"
GDO_q19x3,Availability of investigational pharmaceutical trials for dementia
GDO_q1x2,Existence of dementia representative in ministry
GDO_q19x2,Number of people with dementia involved in research routinely monitored
GDO_q19x3x1_1,Number of investigational pharmaceutical trials for dementia
NCD_CCS_betablockers,General availability of beta blockers in the public health sector
NCD_CCS_BowelCancer,General availability of colon cancer screening at the primary health care level
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
NCD_BMI_PLUS2A,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%)"
NCD_CCS_CancerRegNational,Existence of population-based cancer registry
NCD_CCS_cervicalcancerpgmtype,Type of national cervical cancer screening program
NCD_CCS_DiabetesReg,Existence of a diabetes registry
MH_24,"Mental health units in general hospitals admissions (per 100,000)"
MH_25,Stand-alone policy or plan for mental health
MH_5,Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%)
MH_6,"Psychiatrists working in mental health sector (per 100,000)"
HIV_0000000025,"Testing and counselling facilities, reporting period"
HRH_10,Number of dental technicians/assistants
HRH_11,Number of health management & support workers
HRH_12,Number of environment and public health workers
HRH_14,Number of laboratory technicians/assistants
HRH_19,Number of pharmaceutical personnel
HRH_26,Physicians density (per 1000 population)
HRH_27,Laboratory health workers density (per 1000 population)
HRH_30,Other health workers density (per 1000 population)
HRH_31,Environmental and public health workers density (per 1000 population)
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years)
ASSISTIVETECH_METNEED,Prevalence of met need of assistive products (%)
Camp_airtime,Process evaluation was employed to assess implementation
Camp_media_planning,Campaign utilized media planning
Camp_news,Earned media/public relations were used to promote the campaign
Camp_tv_radio,Campaign aired on television and/or radio
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%)
CaseCS,"Congenital syphilis number of cases, reported"
CC_3,Climate change attributable deaths per 100'000 capita
CC_5,Climate change attributable deaths ('000) in children under 5 years
CC_6,Climate change  attributable deaths per 100'000 children under 5 years
GDO_q15x1,Inclusion of dementia training and education for non-health workers
GDO_q15x2_1,Existence of dementia training for volunteers
GDO_q15x2_4,Existence of dementia training for legal professionals
GDO_q15x2_6,Existence of dementia training for school children
GDO_q16x1x1_other,Data sources used to routinely monitor people with dementia (Other)
GDO_q16x1x2_1,Electronic availability of data sources used to routinely monitor people with dementia
NCD_CCS_coronary,General availability of coronary bypass or stenting in the public health system
NCD_CCS_CVDPlan,Existence of operational policy/strategy/action plan for cardiovascular diseases
GDO_q17x1x1,Implementation level [national/subnational] of dementia research plan/programme
GDO_q17x2x1_1,Identification of other research plans in which dementia is integrated (Mental health)
GDO_q17x2x1_2,Identification of other research plans in which dementia is integrated (Ageing)
NCD_CCS_DiabetesTest,"General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level"
HWF_0016,Pharmaceutical Technicians and Assistants  (number)
HWF_0021,Physiotherapists (number)
HWF_0022,Physiotherapy Technicians and Assistants  (number)
HWWS_1,Handwashing with soap after using the toilet (%)
IHR01,Legislation
IHR04,Response
GDO_q18x2,Availability of funding for dementia-specific research plan/programme
GDO_q1x1,Inclusion of dementia in ministry portfolio
HWF_0009,Midwifery personnel (number)
HWF_0011,Dentists (number)
HWF_0012,Dental Assistants and Therapists (number)
NCD_CCS_breastcancerscreening,Existence of national screening program for breast cancer
NCD_CCS_cervicalcancermethod,Most widely used screening method in national cervical cancer screening program
HWF_0013,Dental Prosthetic Technicians (number)
HWF_0015,Pharmacists  (number)
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number)
IHR03,Surveillance
IHR07,Human resources
IHR09,Points of entry
IHR12,Chemical
IHR10,Zoonosis
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site
HWF_0019,Medical and Pathology Laboratory scientists  (number)
HWF_0020,Medical and Pathology Laboratory Technicians  (number)
HWF_0024,Community Health Workers (number)
IHR05,Preparedness
IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported
ITU_ICT_1,Percentage of individuals using the Internet
GDO_q2x2,Dementia integrated into other national plan
GDO_Q2x2x1_DISAB,Identification of other plans in which dementia is integrated (Disability)
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%)
NCD_CCS_dialysis,General availability of dialysis in the public health system
GDO_q20,Total number of published dementia research output
GDO_q2x1x3,Targets for monitoring implementation of dementia national plan
GDO_Q2x2x1_AGE,Identification of other plans in which dementia is integrated (Ageing)
GDO_Q2x2x1_MENTAL,Identification of other plans in which dementia is integrated (Mental health)
GDO_Q2x2x1_NCD,Identification of other plans in which dementia is integrated (NCD)
GDO_q2x3,Existence of dementia sub-national plan(s)
GDO_q2x3x1_1,Percentage of sub-national regions covered by dementia plan
NCD_CCS_MultisecComm,"Existence of a national multisectoral commission, agency or mechanism for NCDs"
NCD_CCS_NCDUnit_Operational,"Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCDs"
GDO_q2x4_1,Inclusion of human rights as a guiding principle of the dementia plan
GDO_q2x4_2,Inclusion of equity as a guiding principle of the dementia plan
GDO_q2x4_3,Inclusion of empowerment as a guiding principle of the dementia plan
GDO_q2x5_2,Inclusion of dementia risk reduction as a specific action of the dementia plan
GDO_q2x5_4,Inclusion of dementia workforce training as a specific action of the dementia plan
GDO_q2x5_7,Inclusion of research and innovation as a specific action of the dementia plan
GDO_q3x3a_1,Existence of legislation for supported decision making for people with dementia
GDO_q3x3a_3,Existence of legislation to promote community-based services for people with dementia
GDO_q2x5_5,Inclusion of support for dementia carers and families as a specific action of the dementia plan
NCD_CCS_cervicalcancerscreening,Existence of national screening program for cervical cancer
NCD_CCS_CholMsmt,General availability of total cholesterol measurement at the primary health care level
NCD_CCS_DiabPlan,Existence of operational policy/strategy/action plan for diabetes
NCD_CCS_Metformin,General availability of metformin in the public health sector
NCD_CCS_Mkting,Existence of any policies on marketing of foods to children
NCD_CCS_DietPlan,Existence of operational policy/strategy/action plan to reduce unhealthy diet related to NCDs
NCD_CCS_HbA1c,General availability of diabetes testing (by HbA1c) at the primary health care level
NCD_CCS_Insulin,General availability of insulin in the public health sector
NCD_CCS_NCDGuide,Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach
NCD_CCS_NCDIndicators,Existence of a set of national NCD indicators and has set time-bound national targets for these indicators
GDO_q16x2_1,Availability of routine hospital admissions records for people with dementia for monitoring purposes
GDO_q16x2_2,Availability of routine outpatient visit records for people with dementia for monitoring purposes
GDO_q16x2_4,Availability of routine pharmaceutical records for people with dementia for monitoring purposes
CCO_2,Human development index rank
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)
CHOLERA_0000000001,Number of reported cases of cholera
CM_01,Number of under-five deaths
CM_02,Number of infant deaths
DEVICES07,Types of lists recommending health technology for high burden diseases
MORT_200,Deaths per 1 000 live births
MORT_400,Deaths per 100 000 population
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort)
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate)
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate)
NCD_BMI_PLUS1A,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (age-standardized estimate) (%)"
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)"
NCD_CCS_Aspirin,General availability of aspirin (100 mg) in the public health sector
HRH_32,Health management & support workers density (per 1000 population)
HRH_46,Number of biomedical technicians
HWF_0001,"Medical doctors (per 10,000)"
HWF_0002,Medical doctors (number)
HWF_0007,Nursing and midwifery personnel  (number)
HWF_0010,"Dentists (per 10,000)"
NCD_CCS_paaware,Implementation of physical activity public awareness program
GDO_q35,Estimated population-based prevalence of depression
GDO_q3x2,Existence of other laws that apply to the rights of people with dementia
GDO_q3x4_3,Existence of legislation to end discrimination against carers of people with dementia
NCD_CCS_PM3_Surv,Has a STEPS survey or a comprehensive health examination survey every 5 years
NCD_CCS_rheum,Provision for secondary prevention of rheumatic fever and rheumatic heart disease in more than 50% of public sector health facilities
NCD_CCS_PAPlan,Existence of operational policy/strategy/action plan to reduce physical inactivity
NCD_CCS_riskstrat,Availability of cardiovascular risk stratification in 50% or more primary health care facilities
NCD_CCS_SaltPol,Existence of any policies to reduce population salt consumption
NCD_CCS_Spirom,General availability of spirometry at the primary health care level
NCD_CCS_sulphonylurea,General availability of sulphonylurea(s) in the public health sector
NCD_CCS_targets,Existence of a set of time-bound national targets based on WHO guidance
