IndicatorCode,IndicatorName,Language
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",EN
EMFLIMITPOWERDENSITY900,Power density limit at 900 MHz (W/m^2),EN
EMFPOWERFREQUENCY,Power frequency (Hz),EN
FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large  health expenditures as a share of total expenditure or income,EN
AIR_46,YLLs attributable to ambient air pollution (age-standardized),EN
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),EN
GDO_q10x2_HOSUE,Availability of atleast one housing adjustment for people with dementia,EN
GDO_q11x2x1,Dementia nongovernmental organization equipped with office,EN
FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions)",EN
FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)",EN
FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions),EN
FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population pushed below the $3.20 a day poverty line by household health expenditures (millions),EN
FINPROTECTION_IMP_NP_310_LEVEL_SH,"Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global)",EN
FINPROTECTION_CATA_TOT_25_LEVEL_SH,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%)",EN
FINPROTECTION_IMP_NP_190_LEVEL_SH,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN
GDO_q12x2_2,Existence of psycho-social supports for dementia carers,EN
GDO_q12x2_3,Existence of respite care for dementia carers,EN
GDO_q12x2_4,Existence of information on legal rights for dementia carers,EN
GDO_q12x2x1x1_1PUB,Majority provider of dementia carer training and education (Public sector),EN
GDO_q12x2x1x1_2NGO,Majority provider of psycho-social supports for dementia carers (NGO),EN
FINPROTECTION_IMP_NP310_POP,"Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)",EN
FINPROTECTION_IMP_PG_310,"Increase in poverty gap  due to household  health expenditures at the $3.10a day poverty line, in cents of international dollars",EN
FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban)",EN
AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years,EN
AIR_60,Household and ambient air pollution attributable DALYs,EN
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",EN
fpsmo,Demand for family planning satisfied - modern methods (%),EN
GDO_q10x2_TECH,Availability of  atleast one assistive technology for people with dementia,EN
AMRGLASS_QA02,EQA provided for bacterial identification and AST,EN
HCF_NO_ELECTRICITY,Percentage of health-care facilities with no access to any electricity supply (%),EN
HIV_0000000006,Number of people dying from HIV-related causes,EN
HIV_0000000011,Reported number of children receiving antiretroviral therapy,EN
HIV_0000000012,"Reported number of children receiving antiretroviral therapy, month and year of report",EN
GDO_q11x1,Existence of dementia national nongovernmental organization,EN
GDO_q11x2x2_1,Dementia nongovernmental organization office branches (Sub-national),EN
GDO_q11x2x2_2,Dementia nongovernmental organization office branches (Local),EN
GDO_q11x2x2_3,Dementia nongovernmental organization office branches (National only),EN
GDO_q11x2x6,Dementia nongovernmental organization's involvement in policy development,EN
GDO_q12x1x3,Existence of implementation plan for dementia carer support services,EN
GDO_q12x2_5,Existence of financial benefits/social protection for dementia carers,EN
GDO_q12x2x1x1_1NGO,Majority provider of dementia carer training and education (NGO),EN
HIV_0000000020,Estimated number of pregnant women living with HIV,EN
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,EN
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,EN
HIV_0000000024,Estimated antiretroviral therapy coverage among children,EN
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),EN
HRH_01,Number of nursing personnel,EN
HRH_02,Number of physicians,EN
HRH_03,Number of midwifery personnel,EN
HRH_04,Number of pharmacists,EN
HRH_08,Number of radiographers,EN
HRH_09,Number of other health workers,EN
MH_12,Age-standardized suicide rates (per 100 000 population),EN
MH_14,"Community residential facilities (per 100,000)",EN
MH_15,"Beds in community residential facilities (per 100,000)",EN
MH_19,"Mental hospital admissions (per 100,000)",EN
AIR_15,Household air pollution attributable DALYs,EN
AIR_45,Ambient air pollution attributable YLLs,EN
AIR_7,Ambient air pollution attributable DALYs,EN
GDO_q12x2x1x1_3PUB,Majority provider of respite care for dementia carers (Public sector),EN
fullv,Full immunization coverage among one-year-olds (%),EN
GB_XPD_RSDV,Research and development (R&amp;D) expenditure as a proportion of GDP,EN
GDO_q10x1,National regulator approval of anti-dementia medication,EN
GDO_q10x2_1AVAIL,Availability of atleast one adult hygiene products for people with dementia,EN
GDO_q12x2x1x1_4NGO,Majority provider of information on legal rights for dementia carers (NGO),EN
GDO_q12x2x1x1_5NGO,Majority provider of information on financial benefits/social protection for dementia carers (NGO),EN
AIR_18,Household air pollution  attributable DALYs per 100'000 children under 5 years,EN
AIR_4,Ambient air pollution attributable deaths in children under 5 years,EN
GDO_q12x2x5x3,Estimated number of dementia carers receiving financial benefits/social protection,EN
GDO_q13x3x1,Implementation level [national/subnational] of dementia risk reduction campaign,EN
HIV_0000000009,Reported number of people receiving antiretroviral therapy,EN
AIR_50,"Ambient air pollution attributable deaths (per 100 000 population, age-standardized)",EN
AIR_51,Household air pollution attributable death rate (per 100 000 population),EN
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",EN
GDO_q11x2x3,Dementia nongovernmental organization staff primarily salaried/volunteer,EN
GDO_q11x2x5,Provision of governmental funding to dementia nongovernmental organization for activities/services,EN
HRH_05,Number of pharmaceutical technicians/assistants,EN
GDO_q12x2x1x1_2PUB,Majority provider of psycho-social supports for dementia carers (Public sector),EN
GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
AIR_63,Household and ambient air pollution attributable DALYs in children under 5 years ('000),EN
AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),EN
AMR_GI_001,Status of countries enrolled in GLASS,EN
AMRGLASS_COORD01,Functioning national AMR surveillance plan,EN
AMRGLASS_SURVL03,Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites,EN
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),EN
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),EN
bcgv,BCG immunization coverage among one-year-olds (%),EN
HIV_0000000001,Estimated number of people (all ages) living with HIV,EN
HIV_0000000026,Number of new HIV infections,EN
HRH_16,Number of traditional medicine practitioners,EN
HRH_17,Number of medical assistants,EN
AMRGLASS_COORD02,Establishment of National Coordination Centre (NCC),EN
AMRGLASS_COORD04,Establishment of national reference laboratory (NRL),EN
AMRGLASS_QA01,EQA provided to the national reference laboratory (NRL),EN
AMRGLASS_QA04,GLASS pathogens testing covered by EQA,EN
AMRGLASS_QA05,Types of AST standards followed by countries,EN
AMRGLASS_SURVL01,Number of national surveillance sites in each country providing data to GLASS: hospital category,EN
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),EN
fps,Demand for family planning satisfied - modern and traditional methods (%),EN
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",EN
GDO_q12x1,Existence of dementia carer support services,EN
GDO_q12x1x1,Implementation level [national/subnational] of dementia carer support services,EN
GDO_q12x1x2,Existence of dedicated resources for dementia carer support services,EN
AIR_11,Household air pollution attributable deaths,EN
AIR_13,Household air pollution attributable deaths per 100'000 capita,EN
AIR_14,Household air pollution  attributable deaths per 100'000 children under 5 years,EN
AIR_17,Household air pollution attributable DALYs (per 100 000 population),EN
AIR_3_1,Percent of urban inhabitants living in cities covered by PM measurements,EN
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",EN
AIR_41,Ambient air pollution attributable deaths,EN
AIR_43,Ambient air pollution attributable DALYs,EN
AIR_44,DALYs attributable to ambient air pollution (age-standardized),EN
GDO_q12x2x1x1_1,"Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_1PRV,Majority provider of dementia carer training and education (Private sector),EN
GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_2PRV,Majority provider of psycho-social supports for dementia carers (Private sector),EN
GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector),EN
GDO_q12x2x1x1_4,"Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_4PUB,Majority provider of information  on legal rights for dementia carers (Public sector),EN
HRH_06,Number of community health workers,EN
HRH_07,Number of traditional birth attendants,EN
MENING_3,Number of meningitis epidemic districts,EN
MH_1,Mental health policy,EN
MH_17,"Mental hospitals (per 100,000)",EN
MH_2,Mental health plan,EN
MH_20,"Outpatient visits (per 100,000)",EN
MH_21,"Total workforce in mental health sector (per 100,000)",EN
MH_23,"Other non-specialized doctors in mental health sector (per 100,000)",EN
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),EN
Camp_aud_research,Formative research was conducted,EN
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,EN
MH_13,"Beds for mental health in general hospitals (per 100,000)",EN
MH_16,"Beds in mental hospitals (per 100,000)",EN
MH_18,"Mental health units in general hospitals (per 100,000)",EN
MH_22,"Occupational therapists in mental health sector (per 100,000)",EN
GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_5PRV,Majority provider of information on financial benefits/social protection for dementia carers (Private sector),EN
MH_7,"Nurses working in mental health sector (per 100,000)",EN
MH_8,"Social workers working in mental health sector (per 100,000)",EN
MORT_100,"Number of deaths in children aged <5 years, by cause",EN
MH_3,Stand-alone mental health legislation,EN
MH_9,"Psychologists working in mental health sector (per 100,000)",EN
MORT_500,Number of deaths,EN
MORT_700,Projection of deaths per 100 000 population,EN
GDO_q14x1,Availability of dementia-friendly initiatives that improve accessibility,EN
GDO_q14x2_2,Existence of dementia-friendly initiative to improve accessibility of public transportation,EN
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),EN
MORT_300,Distribution of causes of death among children aged < 5 years (%),EN
GDO_q12x2x1x1_3NGO,Majority provider of respite care for dementia carers (NGO),EN
GDO_q12x2x1x1_4PRV,Majority provider of information on legal rights for dementia carers (Private sector),EN
Camp_mat_tested,Campaign was pre-tested,EN
CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%),EN
CC_1,Climate change attributable deaths,EN
CC_4,Climate change attributable DALYs per 100'000 capita,EN
BP_05,Mean systolic blood pressure (crude estimate),EN
BP_06,Mean systolic blood pressure (age-standardized estimate),EN
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness,EN
Camp_nat,At least one national mass media campaign ran during the survey period,EN
CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%),EN
GDO_q12x2x1x3,Estimated number of dementia carers receiving training and education,EN
cci2030,Composite coverage index (%),EN
CCO_WHS9_85,Literacy rate among adults aged >= 15 years (%),EN
CHOLERA_0000000003,Cholera case fatality rate,EN
cpmo,Contraceptive prevalence - modern methods (%),EN
CC_2,Climate change attributable DALYs ('000),EN
CC_8,Climate change  attributable DALYs per 100'000 children under 5 years,EN
CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population),EN
GDO_q14x2_3,Existence of dementia-friendly initiative for assistance with home modification,EN
GDO_q14x2_4,Existence of dementia-friendly initiative with assistive technology for loss of capacity,EN
GDO_q14x2_5,Existence of dementia-friendly initiative supporting community places for older people,EN
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),EN
GDO_q14x2_1,Existence of dementia-friendly initiative to improve accessibility of public spaces,EN
GDO_q15x2_7,Existence of dementia training for financial service staff,EN
GDO_q15x2_5,Existence of dementia training for community workers,EN
GDO_q16x1,Routine monitoring of people with dementia,EN
GDO_q16x1x1_1,Data sources used to routinely monitor people with dementia (Clinical records),EN
CC_7,Climate change attributable DALYs ('000) in children under 5 years,EN
cci,Composite coverage index (%),EN
CCO_3,Gender inequality index rank,EN
GDO_q16x1x1_3,Data sources used to routinely monitor people with dementia (Administrative data),EN
GDO_q16x1x1_4,Data sources used to routinely monitor people with dementia (Facility survey or records),EN
MORT_600,Projection of number of deaths,EN
mslv,Measles immunization coverage among one-year-olds (%),EN
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",EN
CHOLERA_0000000002,Number of reported deaths from cholera,EN
GDO_q14x2_6,Existence of dementia-friendly initiative supporting social opportunities,EN
GDO_q15x2_2,Existence of dementia training for police and fire services,EN
GDO_q15x2_3,Existence of dementia training for first responders,EN
GDO_q16x1x1_2,Data sources used to routinely monitor people with dementia (Household surveys),EN
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",EN
NCD_BMI_MINUS2A,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (age-standardized estimate) (%)",EN
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",EN
GDO_q16x1x2_2,Data used to routinely monitor people with dementia can be disaggregated,EN
GDO_q16x2_3,Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes,EN
MORT_MATERNALNUM,Number of maternal deaths,EN
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",EN
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",EN
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",EN
GDO_q12x2x1x1_5PUB,Majority provider of information  on financial benefits/social protection for dementia carers (Public sector),EN
GDO_q12x2x2x3,Estimated number of dementia carers receiving psycho-social supports,EN
GDO_q12x2x3x3,Estimated number of dementia carers receiving respite care,EN
GDO_q12x2x4x3,Estimated number of dementia carers receiving information on legal rights,EN
GDO_q13x1,Existence of at least one functioning dementia awareness campaign,EN
GDO_q13x1x1,Implementation level [national/subnational] of dementia awareness campaign,EN
GDO_q13x3,Existence of at least one functioning risk reduction campaign,EN
AIR_61,Household and ambient air pollution attributable DALYs (per 100 000 capita),EN
AIR_8,Ambient air pollution attributable DALYs  in children under 5 years,EN
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",EN
AMR_GI_002,Status of National coordination center establishment,EN
AMR_GI_003,Status of National plans to implement and strengthen antimicrobial surveillance,EN
AMRGLASS_COORD03,Nomination of National Focal Point (NFP),EN
AMRGLASS_QA03,EQA provided to local laboratories participating in GLASS,EN
AMRGLASS_SURVL02,Number of National surveillance sites in each country providing data to GLASS: outpatient facility category,EN
GOE_Q203,Lack of integration between various health services,EN
HCF_REL_ELECTRICITY,Percentage of health-care facilities with reliable electricity supply (%),EN
HIV_0000000007,"Testing and counselling facilities, reported number",EN
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",EN
HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,EN
HIV_0000000016,"Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission, reporting period",EN
HIV_0000000022,Estimated number of people eligible for antiretroviral therapy according to 2010 guidelines,EN
GDO_q15x2_8,Existence of dementia training for retail and hospitality staff,EN
HRH_20,Number of laboratory health workers,EN
MENING_1,Number of suspected meningitis deaths reported,EN
MENING_2,Number of suspected meningitis cases reported,EN
MH_10,"Mental health outpatient facilities (per 100,000)",EN
MH_11,"Mental health day treatment facilities (per 100,000)",EN
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",EN
NCD_CCS_ACE,General availability of ACE inhibitors in the public health sector,EN
HRH_13,Number of laboratory scientists,EN
HRH_15,Number of dentists,EN
HRH_18,Number of personal care workers,EN
HRH_25,Pharmaceutical personnel density (per 1000 population),EN
HRH_43,Number of licensed qualified anaesthesiologists actively working,EN
HRH_33,Nursing and midwifery personnel density (per 1000 population),EN
HSS_COMPREHENSIVEHEALTHPOLICY,Countries that have a comprehensive national health sector policy/ strategy/ plan with goals and targets updated within the last 5 years,EN
HRH_45,Biomedical technicians density (per 10 000 population),EN
HSS_MONITORPROGRESS,Countries that have monitored the progress of their national health policy/strategy/plan regularly,EN
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),EN
HWF_0003,Generalist medical practitioners (number),EN
HWF_0005,Medical doctors not further defined (number),EN
NCD_CCS_AlcPlan,Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol,EN
HWF_0004,Specialist medical practitioners (number),EN
HWF_0006,"Nursing and midwifery personnel (per 10,000)",EN
HWF_0008,Nursing personnel (number),EN
HRH_21,Number of dentistry personnel,EN
HRH_22,Number of community and traditional health workers,EN
HRH_23,Number of other health workers,EN
HRH_24,Number of nursing and midwifery personnel,EN
HRH_28,Dentistry personnel density (per 1000 population),EN
HRH_29,Community and traditional health workers density (per 1000 population),EN
HRH_40,Biomedical engineers density (per 10 000 population),EN
NCD_CCS_BreastCancer,General availability of breast cancer screening (by palpation or mammogram) at the primary health care level,EN
NCD_CCS_Bronchodilators,General availability of bronchodilators in the public health sector,EN
NCD_CCS_CancerPlan,Existence of operational policy/strategy/action plan for cancer,EN
HRH_41,Number of licensed qualified surgeons actively working,EN
HRH_42,Number of licensed qualified obstetricians actively working,EN
HRH_44,Number of biomedical engineers,EN
GDO_q16x2_5,Availability of routine antipsychotic prescription records for people with dementia for monitoring purposes,EN
GDO_q16x3,Availability and status of dementia reporting in the past two years,EN
GDO_q17x1,Existence of a current dementia research plan/programme,EN
GDO_q17x2x2,Implementation level [national/subnational] of research plan in which dementia is integrated,EN
GDO_q18x2x1_1,"Total expenditure on dementia research (local currency, self-report)",EN
GDO_q17x2x1_3,Identification of other research plans in which dementia is integrated (Neuro or neurodegenerative disease),EN
GDO_q18x2x3_3,"Total expenditure on dementia implementation research (local currency, self-report)",EN
GDO_q19x3,Availability of investigational pharmaceutical trials for dementia,EN
GDO_q1x2,Existence of dementia representative in ministry,EN
GDO_q19x2,Number of people with dementia involved in research routinely monitored,EN
GDO_q19x3x1_1,Number of investigational pharmaceutical trials for dementia,EN
NCD_CCS_betablockers,General availability of beta blockers in the public health sector,EN
NCD_CCS_BowelCancer,General availability of colon cancer screening at the primary health care level,EN
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",EN
NCD_BMI_PLUS2A,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%)",EN
NCD_CCS_CancerRegNational,Existence of population-based cancer registry,EN
NCD_CCS_cervicalcancerpgmtype,Type of national cervical cancer screening program,EN
NCD_CCS_DiabetesReg,Existence of a diabetes registry,EN
MH_24,"Mental health units in general hospitals admissions (per 100,000)",EN
MH_25,Stand-alone policy or plan for mental health,EN
MH_5,Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%),EN
MH_6,"Psychiatrists working in mental health sector (per 100,000)",EN
HIV_0000000025,"Testing and counselling facilities, reporting period",EN
HRH_10,Number of dental technicians/assistants,EN
HRH_11,Number of health management & support workers,EN
HRH_12,Number of environment and public health workers,EN
HRH_14,Number of laboratory technicians/assistants,EN
HRH_19,Number of pharmaceutical personnel,EN
HRH_26,Physicians density (per 1000 population),EN
HRH_27,Laboratory health workers density (per 1000 population),EN
HRH_30,Other health workers density (per 1000 population),EN
HRH_31,Environmental and public health workers density (per 1000 population),EN
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),EN
ASSISTIVETECH_METNEED,Prevalence of met need of assistive products (%),EN
Camp_airtime,Process evaluation was employed to assess implementation,EN
Camp_media_planning,Campaign utilized media planning,EN
Camp_news,Earned media/public relations were used to promote the campaign,EN
Camp_tv_radio,Campaign aired on television and/or radio,EN
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),EN
CaseCS,"Congenital syphilis number of cases, reported",EN
CC_3,Climate change attributable deaths per 100'000 capita,EN
CC_5,Climate change attributable deaths ('000) in children under 5 years,EN
CC_6,Climate change  attributable deaths per 100'000 children under 5 years,EN
GDO_q15x1,Inclusion of dementia training and education for non-health workers,EN
GDO_q15x2_1,Existence of dementia training for volunteers,EN
GDO_q15x2_4,Existence of dementia training for legal professionals,EN
GDO_q15x2_6,Existence of dementia training for school children,EN
GDO_q16x1x1_other,Data sources used to routinely monitor people with dementia (Other),EN
GDO_q16x1x2_1,Electronic availability of data sources used to routinely monitor people with dementia,EN
NCD_CCS_coronary,General availability of coronary bypass or stenting in the public health system,EN
NCD_CCS_CVDPlan,Existence of operational policy/strategy/action plan for cardiovascular diseases,EN
GDO_q17x1x1,Implementation level [national/subnational] of dementia research plan/programme,EN
GDO_q17x2x1_1,Identification of other research plans in which dementia is integrated (Mental health),EN
GDO_q17x2x1_2,Identification of other research plans in which dementia is integrated (Ageing),EN
NCD_CCS_DiabetesTest,"General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level",EN
HWF_0016,Pharmaceutical Technicians and Assistants  (number),EN
HWF_0021,Physiotherapists (number),EN
HWF_0022,Physiotherapy Technicians and Assistants  (number),EN
HWWS_1,Handwashing with soap after using the toilet (%),EN
IHR01,Legislation,EN
IHR04,Response,EN
GDO_q18x2,Availability of funding for dementia-specific research plan/programme,EN
GDO_q1x1,Inclusion of dementia in ministry portfolio,EN
HWF_0009,Midwifery personnel (number),EN
HWF_0011,Dentists (number),EN
HWF_0012,Dental Assistants and Therapists (number),EN
NCD_CCS_breastcancerscreening,Existence of national screening program for breast cancer,EN
NCD_CCS_cervicalcancermethod,Most widely used screening method in national cervical cancer screening program,EN
HWF_0013,Dental Prosthetic Technicians (number),EN
HWF_0015,Pharmacists  (number),EN
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),EN
IHR03,Surveillance,EN
IHR07,Human resources,EN
IHR09,Points of entry,EN
IHR12,Chemical,EN
IHR10,Zoonosis,EN
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,EN
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,EN
HWF_0019,Medical and Pathology Laboratory scientists  (number),EN
HWF_0020,Medical and Pathology Laboratory Technicians  (number),EN
HWF_0024,Community Health Workers (number),EN
IHR05,Preparedness,EN
IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,EN
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,EN
ITU_ICT_1,Percentage of individuals using the Internet,EN
GDO_q2x2,Dementia integrated into other national plan,EN
GDO_Q2x2x1_DISAB,Identification of other plans in which dementia is integrated (Disability),EN
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,EN
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),EN
NCD_CCS_dialysis,General availability of dialysis in the public health system,EN
GDO_q20,Total number of published dementia research output,EN
GDO_q2x1x3,Targets for monitoring implementation of dementia national plan,EN
GDO_Q2x2x1_AGE,Identification of other plans in which dementia is integrated (Ageing),EN
GDO_Q2x2x1_MENTAL,Identification of other plans in which dementia is integrated (Mental health),EN
GDO_Q2x2x1_NCD,Identification of other plans in which dementia is integrated (NCD),EN
GDO_q2x3,Existence of dementia sub-national plan(s),EN
GDO_q2x3x1_1,Percentage of sub-national regions covered by dementia plan,EN
NCD_CCS_MultisecComm,"Existence of a national multisectoral commission, agency or mechanism for NCDs",EN
NCD_CCS_NCDUnit_Operational,"Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCDs",EN
GDO_q2x4_1,Inclusion of human rights as a guiding principle of the dementia plan,EN
GDO_q2x4_2,Inclusion of equity as a guiding principle of the dementia plan,EN
GDO_q2x4_3,Inclusion of empowerment as a guiding principle of the dementia plan,EN
GDO_q2x5_2,Inclusion of dementia risk reduction as a specific action of the dementia plan,EN
GDO_q2x5_4,Inclusion of dementia workforce training as a specific action of the dementia plan,EN
GDO_q2x5_7,Inclusion of research and innovation as a specific action of the dementia plan,EN
GDO_q3x3a_1,Existence of legislation for supported decision making for people with dementia,EN
GDO_q3x3a_3,Existence of legislation to promote community-based services for people with dementia,EN
GDO_q2x5_5,Inclusion of support for dementia carers and families as a specific action of the dementia plan,EN
NCD_CCS_cervicalcancerscreening,Existence of national screening program for cervical cancer,EN
NCD_CCS_CholMsmt,General availability of total cholesterol measurement at the primary health care level,EN
NCD_CCS_DiabPlan,Existence of operational policy/strategy/action plan for diabetes,EN
NCD_CCS_Metformin,General availability of metformin in the public health sector,EN
NCD_CCS_Mkting,Existence of any policies on marketing of foods to children,EN
NCD_CCS_DietPlan,Existence of operational policy/strategy/action plan to reduce unhealthy diet related to NCDs,EN
NCD_CCS_HbA1c,General availability of diabetes testing (by HbA1c) at the primary health care level,EN
NCD_CCS_Insulin,General availability of insulin in the public health sector,EN
NCD_CCS_NCDGuide,Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,EN
NCD_CCS_NCDIndicators,Existence of a set of national NCD indicators and has set time-bound national targets for these indicators,EN
GDO_q16x2_1,Availability of routine hospital admissions records for people with dementia for monitoring purposes,EN
GDO_q16x2_2,Availability of routine outpatient visit records for people with dementia for monitoring purposes,EN
